ClientID,Country,Cluster,Product1,Product2,Product3,Product4,Product5
41168361649132,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
1162585815877668,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
1754077462278225,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
1899810194829110,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
2425142785666483,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
2509961925537769,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
2864232025725893,FRA,1,Canterbury Vapodri,Adidas Rugby Shorts,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
3084334653716062,FRA,2,Tachikara SV5WSC,Mizuno LR6,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
3146521344975069,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
4111907872460910,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
4764988330035413,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
4977145574117977,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
5066742734625032,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
5112626804566961,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
5303892903340347,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
5884818217890370,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
6153489323416358,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
6736487659474982,FRA,2,Wilson A2000,Wilson A1030,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
7188926043373754,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
7299457352403798,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
7305947222630060,FRA,2,Tachikara SV5WSC,Mizuno LR6,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
7408387337771688,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
7709789474381768,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
7957648446824105,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
8051146337310465,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
8452724609556219,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
8794075180774978,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
8800310380690507,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
8852648010744503,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
9012565968712806,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
9166804304411062,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
10357734337371555,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
10438210630011562,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
10572253645124103,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
10684186317173288,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
10812717459220166,FRA,1,Canterbury Vapodri,Adidas Rugby Shorts,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
11061986766231432,FRA,2,Tachikara SV5WSC,Mizuno LR6,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
11110900678778521,FRA,1,Warrior Covert PX+,Bauer RE-AKT,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
11292246229584700,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
11878740492030438,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
12026585905398960,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
12321951602202706,FRA,2,Speedo Fastskin LZR Racer X,TYR Blackhawk Racing,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
12637232810768958,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
12860116567458897,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
12932274962889003,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
13548969071245323,FRA,2,Speedo Fastskin LZR Racer X,TYR Blackhawk Racing,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
13566019402393400,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
14336440627683045,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
14381620114679114,FRA,1,Warrior Covert PX+,Bauer RE-AKT,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
14488159193244627,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
14692548834485982,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
14725420730566591,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
14861923871211549,FRA,2,Tachikara SV5WSC,Mizuno LR6,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
14968711932047467,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
15337602314270980,FRA,2,Tachikara SV5WSC,Mizuno LR6,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
15544532583111513,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
15595840903429884,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
16033316872540184,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
16122149121180961,FRA,2,Speedo Fastskin LZR Racer X,TYR Blackhawk Racing,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
16194437474346991,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
16476574252393000,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
17059249854041248,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
17356804842555254,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
17397368511667822,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
17535343158192419,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
17737001658638484,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
18515332431794578,FRA,1,Warrior Covert PX+,Bauer RE-AKT,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
18587825756069254,FRA,1,Asics Gel-Blast,Molten H3X5001,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
19100028179968311,FRA,2,Speedo Fastskin LZR Racer X,TYR Blackhawk Racing,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
19315160054303740,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
19539932142462893,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
20316611222983218,FRA,2,Tachikara SV5WSC,Mizuno LR6,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
20461847579057032,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
20504485876413241,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
20543708885283291,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
20791594943955230,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
21470944400529702,FRA,2,Yonex Astrox 99,Victor Gold Champion,Wilson US Open,Nike Dri-FIT,Spalding NBA Official Game Ball
21519269195162501,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
21823765859618602,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
21864542925678791,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
22204412597465851,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
22277554573685350,FRA,0,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Nike Away Jersey,Adidas Squadra 21
22646906121653602,FRA,1,Canterbury Vapodri,Adidas Rugby Shorts,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
23669276616864813,FRA,1,Canterbury Vapodri,Adidas Rugby Shorts,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Nike Dri-FIT
23912516588759617,FRA,1,Nike Dri-FIT,Puma Third Jersey,Spalding NBA Official Game Ball,Wilson Evolution Basketball,Wilson US Open
